project	totalCases	success_passed	success_fail	exception_passed	exception_fail
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	21	18	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	22	17	7	2
equilibrium-bonding-curve	48	23	16	7	2
equilibrium-bonding-curve	48	21	18	7	2
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
final-project-hav-noms	0	0	0	0	0
golem-contracts	110	42	27	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	42	27	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	42	27	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	42	27	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	42	27	35	6
golem-contracts	110	41	28	35	6
golem-contracts	110	41	28	35	6
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
